workload	allocator	median_wall_sec	median_max_rss_kb	median_current_rss_kb	wall_vs_glibc
cache_scratch	hz10	1.090	3968	-	-
larson	hz10	4.179	283768	283768	-
mstress	hz10	0.210	203052	-	-
python_alloc	hz10	0.860	106628	-	-
redis_setget	hz10	0.540	8064	-	-
sh6bench	hz10	0.510	321536	-	-
xmalloc_test	hz10	2.000	13312	-	-
