workload	allocator	median_wall_sec	median_max_rss_kb	median_current_rss_kb	wall_vs_glibc
cache_scratch	hz10	1.090	3968	-	-
larson	hz10	4.182	286592	286592	-
mstress	hz10	0.220	203432	-	-
python_alloc	hz10	0.880	106628	-	-
redis_setget	hz10	0.540	8064	-	-
sh6bench	hz10	0.660	319616	-	-
xmalloc_test	hz10	2.000	14080	-	-
